,Unnamed: 0,Na,SO42-,NH4+,NO3-,Cl-,Ca,K+,Mg,RH,Temp,AWLC,Hydrogen,PH
0,W01,1.41,3.94,1.98,1.37,1.67,0.0,0.64,0.11,0.3301,299.39,3.491,2.112e-10,7.218
1,W02,0.71,3.31,1.4,1.83,0.95,0.0,0.76,0.0,0.5375,298.21,4.749,3.499e-10,7.133
2,W03,1.29,2.24,0.8,0.96,1.48,0.0,0.7,0.03,0.3525,300.6,3.015,1.971e-10,7.185
3,W04,1.91,3.54,4.07,2.07,1.41,1.65,1.22,0.51,0.286,302.15,6.254,3.897e-10,7.205
4,W05,0.6,4.35,3.44,1.84,0.74,2.02,0.99,0.06,0.2362,305.12,0.413,2.6e-11,7.201
5,W06,0.52,4.23,1.46,1.73,0.71,2.97,1.01,0.09,0.1682,306.95,2.242,1.269e-10,7.247
6,W07,1.62,2.52,1.76,6.42,1.7,0.0,0.96,0.0,0.2849,304.51,2.283,0.001306,0.2424
7,W08,0.84,3.96,2.2,3.56,0.95,0.0,0.85,0.0,0.4098,300.36,3.768,2.633e-10,7.156
8,W09,2.04,4.0,1.27,1.95,2.39,0.0,0.97,0.0,0.4481,301.91,6.303,4.873e-10,7.112
9,W10,2.97,4.58,1.48,1.84,3.31,0.0,0.96,0.0,0.6349,299.42,15.0,1.26e-09,7.076
10,W11,0.94,3.78,1.72,0.51,1.15,0.0,1.04,0.0,0.3252,305.87,2.379,1.804e-10,7.12
11,W12,0.87,4.59,0.98,1.41,1.02,0.0,1.26,0.0,0.2317,305.22,1.582,0.003511,-0.3461
12,W13,4.46,4.18,3.94,0.93,4.39,2.96,1.69,0.41,0.2762,307.38,10.86,7.991e-10,7.133
13,W14,1.76,4.16,3.67,0.93,1.88,1.2,1.02,0.09,0.276,307.56,3.204,2.372e-10,7.131
14,W15,2.02,4.25,3.03,0.59,2.2,0.0,0.88,0.0,0.2142,311.13,2.794,2.054e-10,7.134
15,W16,1.17,3.82,2.89,0.47,1.47,0.0,0.75,0.0,0.4667,303.82,4.603,3.89e-10,7.073
16,W17,0.99,1.8,3.72,0.44,1.25,0.0,0.83,0.0,0.3815,305.83,2.667,2.187e-10,7.086
17,W18,0.88,4.86,7.24,0.38,1.08,0.0,0.92,0.0,0.3426,307.54,2.858,2.355e-10,7.084
